LocationID,Borough,Zone,service_zone,avg_fare,avg_trip_distance,total_trips
226,Queens,Sunnyside,Boro Zone,45.512093023255815,3.3672093023255814,43.0
227,Brooklyn,Sunset Park East,Boro Zone,0.0,0.0,0.0
228,Brooklyn,Sunset Park West,Boro Zone,32.43,2.765,2.0
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,13.936905311778292,2.2753117782909933,433.0
230,Manhattan,Times Sq/Theatre District,Yellow Zone,14.90366847826087,2.4944293478260873,736.0
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,15.801428571428572,2.919547619047619,420.0
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,16.413333333333334,3.166153846153846,39.0
233,Manhattan,UN/Turtle Bay South,Yellow Zone,15.911236363636364,2.663018181818182,275.0
234,Manhattan,Union Sq,Yellow Zone,13.707054886211512,2.0450200803212852,747.0
235,Bronx,University Heights/Morris Heights,Boro Zone,17.55,5.095000000000001,2.0
236,Manhattan,Upper East Side North,Yellow Zone,12.222904458598725,1.9007898089171973,785.0
237,Manhattan,Upper East Side South,Yellow Zone,12.245361173814898,1.817957110609481,886.0
238,Manhattan,Upper West Side North,Yellow Zone,12.737761904761904,2.169190476190476,420.0
239,Manhattan,Upper West Side South,Yellow Zone,13.04795883361921,2.1967581475128646,583.0
240,Bronx,Van Cortlandt Park,Boro Zone,0.0,0.0,0.0
241,Bronx,Van Cortlandt Village,Boro Zone,0.0,0.0,0.0
242,Bronx,Van Nest/Morris Park,Boro Zone,5.3,0.5,1.0
243,Manhattan,Washington Heights North,Boro Zone,17.985,3.3349999999999995,6.0
244,Manhattan,Washington Heights South,Boro Zone,23.357142857142858,4.6414285714285715,21.0
245,Staten Island,West Brighton,Boro Zone,0.0,0.0,0.0
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,14.583559322033897,2.373864406779661,295.0
247,Bronx,West Concourse,Boro Zone,15.780000000000001,2.9866666666666664,3.0
248,Bronx,West Farms/Bronx River,Boro Zone,0.0,0.0,0.0
249,Manhattan,West Village,Yellow Zone,14.125300207039338,2.378178053830228,483.0
250,Bronx,Westchester Village/Unionport,Boro Zone,0.0,0.0,0.0
251,Staten Island,Westerleigh,Boro Zone,0.0,0.0,0.0
252,Queens,Whitestone,Boro Zone,0.0,0.0,0.0
253,Queens,Willets Point,Boro Zone,0.0,0.0,0.0
254,Bronx,Williamsbridge/Olinville,Boro Zone,0.0,0.0,0.0
255,Brooklyn,Williamsburg (North Side),Boro Zone,13.843636363636364,2.2618181818181817,33.0
256,Brooklyn,Williamsburg (South Side),Boro Zone,18.452142857142857,3.8057142857142856,14.0
257,Brooklyn,Windsor Terrace,Boro Zone,0.0,0.0,0.0
258,Queens,Woodhaven,Boro Zone,75.94,5.77,1.0
259,Bronx,Woodlawn/Wakefield,Boro Zone,0.0,0.0,0.0
260,Queens,Woodside,Boro Zone,14.768571428571429,3.566190476190476,21.0
261,Manhattan,World Trade Center,Yellow Zone,19.02646153846154,3.867538461538462,130.0
262,Manhattan,Yorkville East,Yellow Zone,14.083474903474903,2.5436679536679536,259.0
263,Manhattan,Yorkville West,Yellow Zone,13.637295918367347,2.3597959183673467,392.0
264,Unknown,0,0,0.0,0.0,0.0
265,0,Outside of NYC,0,0.0,0.0,0.0
